Date,Close
3/13/2024,4794.96
3/14/2024,4770.8
3/15/2024,4732.52
3/18/2024,4756.02
3/19/2024,4792.08
3/20/2024,4855.62
3/21/2024,4858.06
3/22/2024,4891.13
3/25/2024,4885.07
3/26/2024,4892.62
3/27/2024,4891.81
3/28/2024,4925.04
4/1/2024,4902.92
4/2/2024,4867.7
4/3/2024,4914.99
4/4/2024,4949.29
4/5/2024,4954.16
4/8/2024,4977.89
4/9/2024,4991.27
4/10/2024,5001.06
4/11/2024,5026.07
4/12/2024,4952.48
4/15/2024,4982.84
4/16/2024,5006.11
4/17/2024,5026.68
4/18/2024,4988.68
4/19/2024,4963.58
4/22/2024,5045.18
4/23/2024,5103.98
4/24/2024,5093.7
4/25/2024,5074.91
4/26/2024,5064.19
4/29/2024,5091.05
4/30/2024,5102.59
5/1/2024,4722.01
5/2/2024,4700.85
5/3/2024,4691.44
5/6/2024,4703.36
5/7/2024,4736.27
5/8/2024,4761.41
5/9/2024,4795.49
5/10/2024,4794.96
5/13/2024,4770.8
5/14/2024,4732.52
5/15/2024,4756.02
5/16/2024,4792.08
5/17/2024,4855.62
5/20/2024,4858.06
5/21/2024,4891.13
,
